objectid,año,tmean_weighted,precipitation_weighted,cld_weighted,frs_weighted,vap_weighted,wet_weighted,income1,income2,income3,income4,income5,GDPpc,deathr,CO2,lnGDPpc,lnCO2,PI0,PI1,PI2,pm25,region_wb,pm25_nmeses_1_le5,pm25_nmeses_2_5to10,pm25_nmeses_3_10to15,pm25_nmeses_4_15to25,pm25_nmeses_5_25to35,pm25_nmeses_6_gt35,pm25_mean,iso3,_m_iso,wind_nmeses_1_0to90,wind_nmeses_2_90to180,wind_nmeses_3_180to270,wind_nmeses_4_270to360,n_stag,wind_spd_mean,p_stag,wdirty,p_wdirty,regWB,regWB_1,regWB_2,regWB_3,regWB_4,regWB_5,regWB_6,regWB_7,regWB_8,i_reg1_bin1,i_reg1_bin2,i_reg1_bin3,i_reg1_bin4,i_reg2_bin1,i_reg2_bin2,i_reg2_bin3,i_reg2_bin4,i_reg3_bin1,i_reg3_bin2,i_reg3_bin3,i_reg3_bin4,i_reg4_bin1,i_reg4_bin2,i_reg4_bin3,i_reg4_bin4,i_reg5_bin1,i_reg5_bin2,i_reg5_bin3,i_reg5_bin4,i_reg6_bin1,i_reg6_bin2,i_reg6_bin3,i_reg6_bin4,_m_wind,shift_q1,shift_q2,shift_q3,shift_q4,shift_dirty,z_wind,lnz_wind,_m_shift,lnpm25,lnq1,lnq2,lnq3,lnq4,lnshift_dirty,_m_shift2,lnpm25_10,_est_model2,_est_model1,_est_model3,_est_model4,_est_model5
1,2020,26.820818,2889.071784973145,65.206253,.000077702978,28.038673,14.062808,0,0,0,1,0,3780.121634415854,8.964,594.277,8.2375116,6.3873453,18.440001,20.57,16.24,19.700001,East Asia & Pacific,0,1,10,1,0,0,12.746184,IDN,matched (3),0,7,2,3,0,2.0140498,0,5,.41666666,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),27249.928,16513.023,5017.9424,341579.34,346597.28,390360.25,12.874825,matched (3),2.5452321,12.369919,10.30968,9.9808674,13.98344,14.001544,matched (3),26.704723,1,1,1,1,1
2,2000,26.851913,2949.845993041992,74.478134,0,29.57674,18.628847,0,0,1,0,0,6461.991273316935,4.584,129.3413,8.7736931,4.8624544,41.09,35.099998,46.98,12.3,East Asia & Pacific,0,4,7,1,0,0,11.031263,MYS,matched (3),3,1,4,4,0,2.1763203,0,8,.66666669,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),77978.336,153084.44,8643.2861,501714.38,510357.66,741420.44,13.516323,matched (3),2.4007335,12.419858,13.523984,9.9349384,14.039484,14.055847,matched (3),25.188637,1,1,1,1,1
2,2001,26.954859,2620.771682739258,75.057495,0,29.699203,18.257391,0,0,1,0,0,6330.628254245675,4.435,136.2591,8.7531548,4.9145584,41.119999,35.369999,46.810001,11.9,East Asia & Pacific,0,1,11,0,0,0,11.631792,MYS,matched (3),3,6,1,2,0,2.1796968,0,3,.25,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,3,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),84684.086,381809.47,3693.1714,274899.88,278593.03,745086.63,13.521255,matched (3),2.453742,12.421879,13.537866,9.9875736,14.053769,14.070766,matched (3),25.744806,1,1,1,1,1
2,2002,27.251884,2419.33667755127,67.95462,0,29.861143,16.533779,0,0,1,0,0,6506.117927323922,4.43,144.8027,8.7804985,4.9753723,41.150002,35.650002,46.630001,17.700001,East Asia & Pacific,0,0,9,1,1,1,16.912607,MYS,matched (3),5,4,2,1,0,2.2621257,0,3,.25,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),110466.87,317864.94,4164.8037,370754.97,374919.78,803251.56,13.596423,matched (3),2.8280594,12.450466,13.550016,10.010712,14.080742,14.097675,matched (3),29.672165,1,1,1,1,1
2,2003,27.021837,2936.127334594727,73.253891,0,29.62594,18.63418,0,0,1,0,0,6716.643258156062,4.43,153.5366,8.8123436,5.0339389,41.169998,35.91,46.459999,14.3,East Asia & Pacific,0,1,10,1,0,0,12.789562,MYS,matched (3),4,6,2,0,0,2.1158497,0,2,.16666667,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),84071.148,404272.34,3158.6643,246664.67,249823.33,738166.81,13.511925,matched (3),2.5486293,12.491132,13.551916,10.047859,14.12325,14.140093,matched (3),26.740368,1,1,1,1,1
2,2004,26.967978,2477.872406005859,69.562546,0,29.565317,17.101999,0,0,1,0,0,7004.137745799985,4.488,166.5623,8.8542566,5.1153693,41.189999,36.16,46.27,17.1,East Asia & Pacific,0,0,6,5,1,0,16.314646,MYS,matched (3),6,3,2,1,0,2.2852724,0,3,.25,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),125928.77,325797.44,5396.3447,391611.13,397007.47,848733.69,13.651501,matched (3),2.7920632,12.50701,13.591045,10.096318,14.175784,14.192559,matched (3),29.294491,1,1,1,1,1
2,2005,26.983269,2494.167053222656,70.866043,0,29.407269,17.872482,0,0,1,0,0,7209.617110447468,4.516,176.9273,8.8831711,5.1757388,41.200001,36.389999,46.080002,18.200001,East Asia & Pacific,0,0,10,2,0,0,14.257071,MYS,matched (3),4,5,1,2,0,2.699271,0,3,.25,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),84554.656,362981.72,5310.5298,376479.91,381790.44,829326.81,13.628369,matched (3),2.657253,12.520976,13.612513,10.108326,14.219885,14.236135,matched (3),27.880054,1,1,1,1,1
2,2006,26.80728,2837.495910644531,72.887329,0,29.439331,19.226786,0,0,1,0,0,7444.026735397054,4.603,184.4002,8.9151669,5.2171082,41.189999,36.59,45.889999,21.5,East Asia & Pacific,0,0,6,3,3,0,18.774052,MYS,matched (3),5,3,2,2,0,2.2041328,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),117971.13,234945.08,5422.1938,630209.56,635631.75,988547.94,13.803992,matched (3),2.9324756,12.529472,13.620975,10.126653,14.261897,14.277769,matched (3),30.767706,1,1,1,1,1
2,2007,26.788818,2841.715309143066,73.346863,0,29.557341,18.833456,0,0,1,0,0,7742.578025499946,4.705,201.6149,8.9544897,5.3063593,41.169998,36.77,45.689999,14.3,East Asia & Pacific,0,0,12,0,0,0,12.817959,MYS,matched (3),3,4,4,1,0,2.383821,0,5,.41666666,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),81782.906,337086,6140.3853,360185.25,366325.63,785194.56,13.573687,matched (3),2.5508473,12.548338,13.682462,10.162107,14.282763,14.298866,matched (3),26.763639,1,1,1,1,1
2,2008,26.634705,3068.22135925293,74.328278,0,29.367699,19.574249,0,0,1,0,0,7948.947618937362,4.817,212.9998,8.9807949,5.3612914,41.130001,36.91,45.48,14.4,East Asia & Pacific,0,1,11,0,0,0,11.931541,MYS,matched (3),4,3,4,1,0,2.2718029,0,5,.41666666,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),105893.34,335289.41,7013.9678,366423.41,373437.38,814620.13,13.610477,matched (3),2.4791853,12.554625,13.684047,10.202813,14.294937,14.311502,matched (3),26.011759,1,1,1,1,1
